document_id,title,document_type,department,region,version,status,effective_date,expiry_date,path,sha256,trap_tag,confidentiality
NRG-POL-SALES-001,California Laptop Promotion Policy,policy,Sales,California,2.0,approved,2026-01-01,2026-03-31,raw/2026/policies/01-california-laptop-promotion-policy-v2.md,8d623be7064f2e4b0a3e130e72ba2e84b7e652544290bdc111a3cc7d7b869457,policy,internal
NRG-POL-SALES-001,California Laptop Promotion Policy,policy,Sales,California,1.0,expired,2025-01-01,2025-03-31,raw/2025/policies/01-california-laptop-promotion-policy-v1-expired.md,0b9b687c406c234c85c478dfedf565bb6061f498612c36cef859e81e6f3c1146,expired_trap,internal
NRG-POL-INV-003,Inventory Replenishment Policy,policy,Supply Chain,United States,3.1,approved,2026-01-15,,raw/2026/policies/03-inventory-replenishment-policy.md,95d9304223eb042d8c34bb696394f89a00b36bf6bd1c85a35a8b7e159001e412,policy,internal
NRG-POL-CX-004,Electronics Return and Refund Policy,policy,Customer Experience,United States,2.0,approved,2025-11-01,,raw/2025/policies/04-electronics-return-policy.md,6044a19400caa8e9f091e1a48a658597fc03fbfec31a37839b819f7c6fd16da1,policy,internal
NRG-POL-SEC-009,Information Security Policy,policy,Information Security,United States,4.0,approved,2026-01-01,,raw/2026/policies/09-information-security-policy.md,a8d9f537f0b1c58eb8754a769d22fd1d4192166dbe60107f9689dc0187a922c3,policy,internal
NRG-SOP-SUP-006,Supplier Delay Standard Operating Procedure,procedure,Supply Chain,United States,1.2,approved,2025-09-01,,raw/2025/procedures/06-supplier-delay-sop.md,01670fc9d503544c6538d9846e800a0b1fe9a24036d06737f21d564aed7033fb,policy,internal
NRG-RPT-SALES-010,Q1 2026 California Laptop Sales Report,report,Sales,California,1.0,approved,2026-04-10,,raw/2026/reports/10-q1-2026-sales-report.md,423ae72d0904018a3d5fb8c771db90ad10b1351137d4e20360b6f1970210439a,multi_hop,internal
NRG-RPT-INV-011,Inventory Risk Report April 2026,report,Supply Chain,California,1.0,approved,2026-04-12,,raw/2026/reports/11-inventory-risk-report.md,acc7be8c9ab06be0fb57c3f641acfc6a1c299de537769f08b08fb45c5792fd96,multi_hop,internal
NRG-CAT-PROD-012,Laptop Product Catalog,catalog,Merchandising,United States,2026.1,approved,2026-01-01,,raw/2026/multimodal/12-laptop-product-catalog.md,defa083495d5e2b7f81e239e439c8b2b24ecb160bb5eb931948126cf6d9a03dc,catalog,internal
NRG-SOP-GOLD-0001,Supply Chain Procedure — Texas #1,procedure,Supply Chain,Texas,1.0,approved,2026-02-02,,raw/2026/procedures/001-procedure-texas.md,582b93938769d340568218a975eaedc5e7ec2c489e2c519c2d52941ef9e9b990,,internal
NRG-RPT-GOLD-0002,Procurement Report — New York #2,report,Procurement,New York,1.0,approved,2026-03-03,,raw/2026/reports/002-report-new-york.md,19e66ff3675803e6b1104049e4dfb830ce008781f44654d76b686a68285fda15,,internal
NRG-RBK-GOLD-0003,Finance Runbook — Florida #3,runbook,Finance,Florida,1.0,approved,2026-04-04,,raw/2026/runbooks/003-runbook-florida.md,76d6d8dcbb1dfe2343ade1e0e7cc5a6bf1873193136253feb4b5cdc18bca5680,,internal
NRG-MAN-GOLD-0004,HR Manual — North Carolina #4,manual,HR,North Carolina,1.0,approved,2026-05-05,,raw/2026/manuals/004-manual-north-carolina.md,f5143bd3cc816818ab255fd3953d5b963564344de8b933270eac8bad680772f2,,internal
NRG-ANN-GOLD-0005,Information Security Store Announcement — Illinois #5,store_announcement,Information Security,Illinois,1.0,approved,2026-06-06,,raw/2026/announcements/005-store_announcement-illinois.md,fe38ac16daeeb1e473a1f5a58057be5024d9878d9391da4ae83ce2d88b2e9098,,internal
NRG-POL-GOLD-0006,Data Engineering Policy — Washington #6,policy,Data Engineering,Washington,1.0,approved,2026-01-07,,raw/2026/policies/006-policy-washington.md,0ed3cbe5c8d3027011457b136b50939ca1ed57570963aa50e4e1da891df6e3b9,,internal
NRG-SOP-GOLD-0007,Cloud Operations Procedure — Georgia #7,procedure,Cloud Operations,Georgia,1.0,approved,2026-02-08,,raw/2026/procedures/007-procedure-georgia.md,eb60d5ad389cb1f1dbbcdf2e30ed2dc69740442f04a92d562cbf342340758fa8,,internal
NRG-RPT-GOLD-0008,Customer Experience Report — Arizona #8,report,Customer Experience,Arizona,1.0,approved,2026-03-09,,raw/2026/reports/008-report-arizona.md,3b632e75ee3d5e2c906aa26ca1df441bccce28d90eaa7bde7daefd45a1bc0579,,internal
NRG-RBK-GOLD-0009,Legal Runbook — Colorado #9,runbook,Legal,Colorado,1.0,approved,2026-04-10,,raw/2026/runbooks/009-runbook-colorado.md,8265590264753f2a7fb0898ddc41a1df227a007fdc091870e3f4f000f9f85048,,internal
NRG-MAN-GOLD-0010,Merchandising Manual — California #10,manual,Merchandising,California,1.0,approved,2026-05-11,,raw/2026/manuals/010-manual-california.md,446cffedcc6bc3d2efe18f096a2f703746317f645aac534ed0f6206b04b3976f,,internal
NRG-ANN-GOLD-0011,Marketing Store Announcement — Texas #11,store_announcement,Marketing,Texas,1.0,approved,2026-06-12,,raw/2026/announcements/011-store_announcement-texas.md,24a7dad4fb1e3db09186da6e2720cc52799b2a3ad1fc7d5ab06c5b89ac33f61c,,internal
NRG-POL-GOLD-0012,Store Operations Policy — New York #12,policy,Store Operations,New York,1.0,approved,2026-01-13,,raw/2026/policies/012-policy-new-york.md,2a373efcf9f9da2346d12a0d69a638965154d2e61bd22dfb6815fbaa39534d3c,,internal
NRG-SOP-GOLD-0013,Compliance Procedure — Florida #13,procedure,Compliance,Florida,1.0,approved,2026-02-14,,raw/2026/procedures/013-procedure-florida.md,c4faadb6a0202f94b8ad7505eb1372b05023eefc12f71c11ffb404f69ec11044,,internal
NRG-RPT-GOLD-0014,Sales Report — North Carolina #14,report,Sales,North Carolina,1.0,approved,2026-03-15,,raw/2026/reports/014-report-north-carolina.md,31bff308761088d903a778422405e8ff9a5be26d12d3daa6cb8abcf903084913,,internal
NRG-RBK-GOLD-0015,Supply Chain Runbook — Illinois #15,runbook,Supply Chain,Illinois,1.0,approved,2026-04-16,,raw/2026/runbooks/015-runbook-illinois.md,731e84dbde7bcd15540c079a69424fb6837c6ba57b830f0ab497df5017f26a00,,internal
NRG-MAN-GOLD-0016,Procurement Manual — Washington #16,manual,Procurement,Washington,1.0,approved,2026-05-17,,raw/2026/manuals/016-manual-washington.md,ded0ec875fe17791acf7bc1c1275d940a0c042e846758cb0b4d9701b459c349d,,internal
NRG-ANN-GOLD-0017,Finance Store Announcement — Georgia #17,store_announcement,Finance,Georgia,1.0,approved,2026-06-18,,raw/2026/announcements/017-store_announcement-georgia.md,3ed9db017d15debf7a2095e6c1c84ab3a2ebd33a98246e3064418c77462e49b6,,internal
NRG-POL-GOLD-0018,HR Policy — Arizona #18,policy,HR,Arizona,1.0,approved,2026-01-19,,raw/2026/policies/018-policy-arizona.md,bd23709a4e883bd57c6b2d8e59aa221df4caa8b818ef39d8a5e714c5ad984679,,internal
NRG-SOP-GOLD-0019,Information Security Procedure — Colorado #19,procedure,Information Security,Colorado,1.0,approved,2026-02-20,,raw/2026/procedures/019-procedure-colorado.md,be91c9b4f04a5d5a02baa4861c761ed9ab9dd96e985008c201d657ad38d576cc,,internal
NRG-RPT-GOLD-0020,Data Engineering Report — California #20,report,Data Engineering,California,1.0,approved,2026-03-21,,raw/2026/reports/020-report-california.md,5d8d8c16031612b5fc88608277593d21980c6799c9900a61a5e3c87e5e466a0c,,internal
NRG-RBK-GOLD-0021,Cloud Operations Runbook — Texas #21,runbook,Cloud Operations,Texas,1.0,approved,2026-04-22,,raw/2026/runbooks/021-runbook-texas.md,a7e354d4211d2983633005c073d3ad8d3f607f5184f09edd74afc409b55970d4,,internal
NRG-MAN-GOLD-0022,Customer Experience Manual — New York #22,manual,Customer Experience,New York,1.0,approved,2026-05-23,,raw/2026/manuals/022-manual-new-york.md,3e990bc40194b0efd1088341bda742a89cd790a131936ecedd4939f7aad9f750,,internal
NRG-ANN-GOLD-0023,Legal Store Announcement — Florida #23,store_announcement,Legal,Florida,1.0,approved,2026-06-24,,raw/2026/announcements/023-store_announcement-florida.md,78b5c465859db5a3c83953b8046894d56bee73bec2008c00e0e5f1e79271d66a,,internal
